1.384,2.239,0.792,0.157,-35.319,-31.495,31.625,88.925,17.062,62.713,0.663,1960.4,66.374,376,1611,-5.732
-0.137,2.305,1.732,0.863,36.286,97.235,31.625,88.925,17.062,62.713,0.596,1791.4,61.011,376,1611,-10.936
2.133,-0.748,1.014,0.895,34.132,96.207,31.625,88.925,17.062,62.713,0.605,1794,60.44,376,1611,5.538
0.425,-0.023,1.802,0.862,36.154,96.998,31.625,88.925,17.062,62.713,0.758,2221.7,75.121,376,1611,0.914
-0.987,-1.088,0.85,0.864,36.11,96.998,31.625,88.925,17.062,62.713,0.701,2063.1,69.89,376,1611,-3.938
-1.505,-1.595,1.833,0.062,-44.33,-47.793,31.625,88.925,17.062,62.713,0.593,1748.5,59.077,376,1611,-12.765
0.027,-0.76,0.745,0.848,35.846,96.84,31.625,88.925,17.062,62.713,0.727,2155.4,72.967,376,1611,-6.822
-1.018,1.615,0.811,0.076,-42.571,-45.103,31.625,88.925,17.062,62.713,0.626,1840.8,63.165,376,1611,7.596
0.601,0.457,0.71,0.03,-47.451,-53.253,31.625,88.925,17.062,62.713,0.518,1491.1,50.637,376,1611,-10.057
-0.008,1.759,1.821,0.044,-46,-50.8,31.625,88.925,17.062,62.713,0.682,2038.4,68.923,376,1611,-2.426
